"platform","model","sample_id","cell_count","transcript_count","common_gene_counts","batch","segmentation"
"MERSCOPE",NA,"ko_166",360382,25743215,25743215,"batch22","Cellpose1"
"MERSCOPE",NA,"ko_167",245614,15816703,15816703,"batch27","Cellpose1"
"MERSCOPE",NA,"ko_168",160333,7258313,7258313,"batch26","Cellpose1"
"MERSCOPE",NA,"ctrl_172",142796,10312667,10312667,"batch27","Cellpose1"
"MERSCOPE",NA,"ctrl_173",136750,6113119,6113119,"batch26","Cellpose1"
"MERSCOPE",NA,"ctrl_174",322373,29215291,29215291,"batch22","Cellpose1"
"MERSCOPE",NA,"wt_709",189147,3823139,3823139,"batch33","Cellpose1"
"MERSCOPE",NA,"wt_710",274245,12653294,12653294,"batch33","Cellpose1"
"MERSCOPE",NA,"wt_713",247722,11762848,11762848,"batch33","Cellpose1"
"MERSCOPE",NA,"ko_166",339814,30812811.8473914,30812811.8473914,"batch22","Proseg"
"MERSCOPE",NA,"ko_167",244057,18934057.7732427,18934057.7732427,"batch27","Proseg"
"MERSCOPE",NA,"ko_168",158651,9981009.5014962,9981009.5014962,"batch26","Proseg"
"MERSCOPE",NA,"ctrl_172",144641,13323767.8802135,13323767.8802135,"batch27","Proseg"
"MERSCOPE",NA,"ctrl_173",127888,7793024.62813733,7793024.62813733,"batch26","Proseg"
"MERSCOPE",NA,"ctrl_174",304631,35463686.2299964,35463686.2299964,"batch22","Proseg"
"MERSCOPE",NA,"wt_709",162943,4387807.48888651,4387807.48888651,"batch33","Proseg"
"MERSCOPE",NA,"wt_710",267732,13796796.0472998,13796796.0472998,"batch33","Proseg"
"MERSCOPE",NA,"wt_713",244953,13059266.235108,13059266.235108,"batch33","Proseg"
"MERSCOPE",NA,"ko_166",496668,26959818,26959818,"batch22","Cellpose2"
"MERSCOPE",NA,"ko_167",360251,17378008,17378008,"batch27","Cellpose2"
"MERSCOPE",NA,"ko_168",243980,9036056,9036056,"batch26","Cellpose2"
"MERSCOPE",NA,"ctrl_172",225047,12441316,12441316,"batch27","Cellpose2"
"MERSCOPE",NA,"ctrl_173",191255,7223480,7223480,"batch26","Cellpose2"
"MERSCOPE",NA,"ctrl_174",458532,31921968,31921968,"batch22","Cellpose2"
"MERSCOPE",NA,"wt_709",255899,3770386,3770386,"batch33","Cellpose2"
"MERSCOPE",NA,"wt_710",374230,11954084,11954084,"batch33","Cellpose2"
"MERSCOPE",NA,"wt_713",357246,11287480,11287480,"batch33","Cellpose2"
"Xenium","multimodal","ctrl_173",73121,39012673,39012673,"batch34","Nuclear expansion"
"Xenium","multimodal","wt_710",161248,61929223,61929223,"batch34","Nuclear expansion"
"Xenium","multimodal","wt_709",236600,102637175,102637175,"batch34","Nuclear expansion"
"Xenium","multimodal","ctrl_174",205157,64257563,64257563,"batch34","Nuclear expansion"
"Xenium","multimodal","ctrl_172",148539,59825991,59825991,"batch34","Nuclear expansion"
"Xenium","multimodal","ctrl_173",69119,62464206.6742365,62464206.6742365,"batch34","Proseg"
"Xenium","multimodal","wt_710",140449,93007033.6616267,93007033.6616267,"batch34","Proseg"
"Xenium","multimodal","wt_709",203963,117524404.821382,117524404.821382,"batch34","Proseg"
"Xenium","multimodal","ctrl_174",181079,70954999.761733,70954999.761733,"batch34","Proseg"
"Xenium","multimodal","ctrl_172",128601,78529524.8175143,78529524.8175143,"batch34","Proseg"
"Xenium","multimodal","ctrl_173",287498,79943999,79943999,"batch34","Cellpose2"
"Xenium","multimodal","wt_710",340319,90813316,90813316,"batch34","Cellpose2"
"Xenium","multimodal","wt_709",390651,115846748,115846748,"batch34","Cellpose2"
"Xenium","multimodal","ctrl_174",325314,70289852,70289852,"batch34","Cellpose2"
"Xenium","multimodal","ctrl_172",299568,77787326,77787326,"batch34","Cellpose2"
"Xenium","unimodal","ko_166",296615,25874602,25874602,"batch24","Nuclear expansion"
"Xenium","unimodal","ko_167",268622,20041001,20041001,"batch24","Nuclear expansion"
"Xenium","unimodal","ko_168",237119,20379138,20379138,"batch27","Nuclear expansion"
"Xenium","unimodal","ctrl_172",96630,11789911,11789911,"batch27","Nuclear expansion"
"Xenium","unimodal","ctrl_173",152529,12759206,12759206,"batch24","Nuclear expansion"
"Xenium","unimodal","ctrl_174",127088,16575733,16575733,"batch27","Nuclear expansion"
"Xenium","unimodal","wt_709",254981,24185954,24185954,"batch27","Nuclear expansion"
"Xenium","unimodal","wt_710",237119,20379138,20379138,"batch27","Nuclear expansion"
"Xenium","unimodal","wt_713",354711,24061176,24061176,"batch24","Nuclear expansion"
"Xenium","unimodal","ko_166",253552,18095041.4553909,18095041.4553909,"batch24","Proseg"
"Xenium","unimodal","ko_167",236113,15515509.3812851,15515509.3812851,"batch24","Proseg"
"Xenium","unimodal","ko_168",188325,17187752.4165448,17187752.4165448,"batch27","Proseg"
"Xenium","unimodal","ctrl_172",75355,11901550.6889078,11901550.6889078,"batch27","Proseg"
"Xenium","unimodal","ctrl_173",132310,9871326.22312226,9871326.22312226,"batch24","Proseg"
"Xenium","unimodal","ctrl_174",98109,20435539.0919837,20435539.0919837,"batch27","Proseg"
"Xenium","unimodal","wt_709",179985,22866106.405168,22866106.405168,"batch27","Proseg"
"Xenium","unimodal","wt_710",181804,20223413.8700926,20223413.8700926,"batch27","Proseg"
"Xenium","unimodal","wt_713",302461,16470615.0908557,16470615.0908557,"batch24","Proseg"
